Role,Tags,Additional,Salary,Locations
Scala Lead Developer (remote),"[' Scala', ' Kafka', ' Docker', ' microservices', ' delivering projects to production', ' English', ' Functional Programming', ' Spark', ' Cassandra', ' NoSQL', ' Cats', ' interest in games', ' testing techniques and their trade-offs', ' CPU/Memory/Network tradeoffs', ' sense of humor']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 24000 - 30000 PLN , Kraków 
Senior DevOps Engineer,"[' Linux', ' Docker', ' AWS', ' Jenkins', ' Azure', ' Kubernetes', ' PostgreSQL', ' English', ' Polish', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 15000 - 20000 PLN , Warszawa 
Software Architect,"[' .NET', ' application architecture', ' application design', ' UML', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' JavaScript', ' HTML', ' CSS', ' C#', ' C++', ' AWS']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 18000 PLN , Warsaw  
DevOps Engineer,"[' Linux', ' Docker', ' Python', ' AWS', ' Ansible', ' Git', ' RedHat/CentOS', ' GitLab', ' Kubernetes', ' Experience designing scalable, high availability system...', ' Experience with collecting and analyzing performance me...', ' Knowledge of relational and non-relational databases']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - Yes  +2 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 14000 - 17000 PLN , Warsaw 
[Regular] Backend Java Developer,"[' Java', ' Spring', ' Git', ' REST', ' SQL', ' Jenkins', ' Docker', ' Linux']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 10000 - 18000 PLN , Warszawa 
Test Automation Engineer,"[' Selenium', ' Python', ' JavaScript', ' Protractor', ' Software QA methodologies, tools and processes', ' Automated testing tools', ' web services', ' html', ' Web Testing', ' English', ' Team player', ' Proven work experience in software quality assurance', ' Ability to work independently and self-organized', ' Agile/Scrum development process', ' Selenium', ' REST', ' CSS', ' Bootstrap', ' LESS', ' Communication skills', ' Critical thinking', ' Willing to travel for short time visiting company offic...']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes '}", 14000 - 20000 PLN , Katowice 
HPC/SCP Engineer,"[' Linux', ' Windows Server', ' Unix', ' AWS', ' Docker', ' Kubernetes', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Shell', ' Python', ' VMware', ' Security', ' GPC', ' Azure', ' HPC']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Relocation package ': ' Yes  (14000 PLN) ', ' Freedom to choose tools ': ' Yes '}", 17000 - 22000 PLN , Warsaw 
Solution Architect,"[' .NET', ' Software Engineering', ' Software Architecture Design', ' Microservices Architecture', ' Storage technologies', ' Team player', ' Communication skills', ' Presentation skills', ' Analytical skills', ' English', ' Agile', ' BDD', ' TDD', ' DDD', ' CQRS']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 18000 - 25000 PLN , Gdańsk 
Senior .NET  Developer,"[' .NET', ' JavaScript', ' ASP.Net', ' HTML 5', ' English', ' MVVM', ' Resful API', ' JSON']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 13000 - 18000 PLN , Kraków 
Senior DevOps/Cloud Engineer,"[' Python', ' Linux', ' Docker', ' English', ' Critical thinking', ' Problem solving', ' Go', ' Kubernetes', ' DPDK', ' Kernel']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' 80 % ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (1500 PLN) ', ' Freedom to choose tools ': ' No '}", 16000 - 18000 PLN ," Kraków, Warszawa, Wrocław "
Software Engineer,"[' Java', ' Spring', ' Jenkins', ' Docker', ' AWS', ' TDD', ' Kafka', ' English', ' Team player', ' Agile', ' NoSQL', ' Scala', ' python', ' typescript', ' CI/CD', ' React', ' React.Native', ' Communication skills', ' Critical thinking', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 14000 - 17000 PLN , Wrocław 
PHP Developer | Remote - Home Office,"[' PHP', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Wordpress', ' JavaScript', ' React', ' Proactivity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}",,
Junior DevOps Engineer,"[' Python', ' Linux', ' Docker', ' English', ' Polish', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly customer support ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' 20 % ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 4000 - 7000 PLN ," Gliwice, Katowice "
Junior Java EE Developer,"[' Java', ' Hibernate', ' Maven', ' Java EE', ' JUnit', ' JPA', ' SQL', ' Oracle DB', ' English', ' Team player', ' Communication skills', ' Problem solving', ' Git', ' REST', ' Jenkins', ' Docker']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 4700 - 5900 PLN , Łódź 
Full Stack-PHP Angular Developer,"[' Angular', ' php', ' jquery', ' mysql', ' web services', ' English', ' Polish', ' Communication skills', ' Critical thinking', ' Problem solving']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No ', ' praca zdalna ': None}", 9000 - 12000 PLN , Bielsko - biała 
.Net Developer,"[' .NET', ' Entity Framework', ' WCF', ' WPF', ' MVC', ' Microsoft', ' Angular', ' SQL', ' MS SQL', ' React', ' ASP.NET MVC', ' C#', ' English', ' Team player', ' Azure', ' SQL Server', ' JavaScript', ' HTML', ' CSS', ' TypeScript', ' jQuery']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes ', ' Freedom to choose tools ': ' No '}", 10000 - 17000 PLN ," Wrocław, Kraków, Katowice, Warszawa, Sopot "
PHP Engineer,"[' PHP', ' REST', ' English', ' Communication skills', ' Problem solving', ' Proactivity', ' MySQL', ' Symfony', ' Docker', ' PostgreSQL', ' AWS', ' Shopware', ' Laravel', ' silex', ' Kubernetes', ' Team player']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' No ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 8000 - 16000 PLN , Kraków 
Mid/Senior Java Developer,"[' Java', ' Spring', ' Git', ' REST', ' Maven', ' JUnit', ' English', ' Jenkins', ' NoSQL', ' AWS', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 750 - 1050 PLN , Kraków 
Frontend Developer,"[' React', ' JavaScript', ' CSS', ' HTML', ' Redux', ' Git', ' webpack', ' TypeScript', ' Redux-thunk', ' English', ' Polish', ' Communication skills', ' Problem solving', ' Angular', ' REST', ' Sass', ' Bootstrap', ' vue.js', ' Reselect', ' Redux-saga', ' MaterialUI', ' Team player', ' Critical thinking', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 9000 - 12000 PLN , Warszawa 
Senior iOS Developer,"[' ios', ' Git (GitFlow)', ' Native iOS framework', ' Swift 5/Objective-C', ' REST API', ' AppStore Connect (Release handling, Store handling)', ' English', ' Team player', ' Jenkins', ' fastlane', ' Firebase', ' Azure Devops (TFS/VSTS)', ' Scripting', ' Charles Proxy', ' large enterprise', ' Ruby', ' banking', ' Agile', ' distributed teams']","{' Job profile ': ' Mainly new features ', ' Start ': ' 2020-06-01 ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' No '}", 22600 - 24800 PLN , Warszawa 
MS SQL Developer,"[' Oracle DB', ' MS SQL', ' Python', ' sql', ' Docker', ' GIT', ' Bamboo', ' English', ' Team player', ' java', ' apache', ' kafka']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (10 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' No '}", 110 - 134 PLN , Gdańsk 
Elixir Developer,"[' PostgreSQL', ' Elixir', ' GraphQL', ' English', ' Team player', ' Communication skills', ' Critical thinking', ' Problem solving', ' Phoenix', ' Amazon AWS']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': '', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 9000 - 16000 PLN , Kraków 
Senior Scala Developer (Remote),"[' Scala', ' Kafka', ' Flink', ' Cassandra', ' Python', ' Git', ' PostgreSQL']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Fully remote ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 147 - 160 PLN ," Warszawa, Kraków, Gdańsk, Wrocław "
Analityk Danych,"[' SQL', ' Wykształcenie wyższe', ' Techniki data science', ' Biegła znajomość  SQL', ' Narzędzia Business Intelligence', ' Communication skills', ' Critical thinking', ' Problem solving', ' Proactivity']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 9000 - 15000 PLN , Warszawa 
Chatbot Specialist,"[' Business analysis', ' basic JavaScript', ' English', ' Polish', ' Team player', ' Communication skills', ' Problem solving', ' Proactivity', ' expertise in the implementation of chatbot tools or oth...', ' •\tKnowledge of business and technology solutions dedica...', ' CV must be sent in Polish language']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (4 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' Yes ', ' możliwość pracy zdalnej ': None}", 7000 - 12000 PLN , Warszawa 
Senior/Lead Fullstack PHP Developer,"[' PHP', ' MySQL', ' Git', ' Wordpress', ' Drupal', ' angular', ' English', ' Symfony', ' Magento']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (3 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 8000 - 12000 PLN , Poznań 
Android Developer,"[' Java', ' Kotlin', ' Git', ' Firebase', ' SQL', ' android', ' Android Architecture Components', ' English', ' Team player', ' Communication skills', ' Problem solving', ' REST', ' RxJava', ' Dagger', ' Retrofit', ' Scrum', ' Room', ' Proactivity']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' Yes ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 5000 - 10000 PLN , Łódź 
Senior Java Developer,"[' Java', ' Spring', ' Hibernate', ' Git', ' REST', ' Maven', ' JPA', ' SQL', ' Spring Boot', ' Jenkins', ' Coaching skills', ' Nexus', ' UML', ' Communication skills', ' clean code', ' Agile']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' No '}", 800 - 1000 PLN , Kraków 
Fullstack .NET Developer (Angular),"[' .NET', ' SQL Server', ' Angular', ' .NET Core', ' Scrum', ' English', ' Communication skills', ' Problem solving', ' Azure']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Freedom to choose tools ': ' Yes '}", 15000 - 19500 PLN , Wrocław 
Senior MS SQL Developer,"[' Oracle DB', ' MS SQL', ' Python', ' sql', ' Docker', ' GIT', ' Bamboo', ' English', ' Team player', ' java', ' apache', ' kafka']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Temporary contract (10 months) ', ' Paid holiday ': ' No ', ' Part time work ': ' No ', ' Remote possible ': ' No ', ' Flexible hours ': ' No ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' No '}", 125 - 134 PLN , Gdańsk 
Middle .Net Developer for R&D,"[' .NET', ' Entity Framework', ' SQL', ' C#', ' MS SQL Server', ' ASP .NET', ' English', ' Team player', ' JavaScript', ' jQuery']","{' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' B2B - No  +1 ', ' Part time work ': ' No ', ' Remote possible ': ' Yes (1 day a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' some ', ' Freedom to choose tools ': ' No '}", 90 - 125 PLN , Warsaw 
Junior Django Developer,"[' Python', ' Django', ' REST', ' English', ' CSS', ' javascript']","{' Job profile ': ' Mainly new features ', ' Start ': ' ASAP ', ' Contract duration ': ' Permanent contract ', ' Paid holiday ': ' No ', ' Part time work ': ' 60 % ', ' Remote possible ': ' Yes (2 days a week) ', ' Flexible hours ': ' Yes ', ' Travel involved ': ' No ', ' Relocation package ': ' Yes  (2000 PLN) ', ' Freedom to choose tools ': ' Yes '}", 4000 - 5000 PLN , Łódź 
